song,artist,genre,year,lyric_corpus
두사랑 (Feat. 매드클라운),다비치,발라드,2015,하지만 난 한 사람을 가볍게 사랑하지 않아 이해 못하겠지 두 사람을 미친 듯이 온 마음다 바쳐서 사랑해나 도내 맘을 모르겠어 내 두 사랑은 한사랑보다 깊어 난 두 사람 중 한 사람도 곁에서 보낼 수 없는데 이러면 안 되는데 누구에게도 털어놓을 수 없어 없어
두사랑 (Feat. 매드클라운),다비치,발라드,2015,정말 이야나 두 사람을 사랑해 목숨 바쳐 나 두 사람을 사랑하면 안 되는 걸 너무 잘 알면서 너무 잘 알면서 둘 중 누구도 보낼 수가 없 어없어
두사랑 (Feat. 매드클라운),다비치,발라드,2015,정말 이야 이해할 수 있어 처음 봤을 땐 그냥 지나치는 사람쯤 두 번 짼 풍선처럼 네맘에서 점점 커지고 그러다
두사랑 (Feat. 매드클라운),다비치,발라드,2015,너도 모르는 사이 어느새 이젠 한 가슴에 살게 된 전혀 다른 두 사랑 익숙함과 새로움
두사랑 (Feat. 매드클라운),다비치,발라드,2015,둘 사이 둘 다 상처 주기 싫어 꽤나 힘들었겠어 괜찮아 맘가는 대로 해 그맘이 진심이라면 넌 좀 더 이기적이어도 돼
두사랑 (Feat. 매드클라운),다비치,발라드,2015,내두 사랑은 한사랑보다 깊어 난 두 사람 중 한 사람도 곁에서 보낼 수 없는데 이러면 안 되는데 누구에게도 털어놓을 수 없어 없어
두사랑 (Feat. 매드클라운),다비치,발라드,2015,정말 이야나 두 사람을 사랑해 목숨 바쳐 나 두 사람을 사랑 하면 안 되는 걸 너무 잘 알면서 너무 잘 알면서 둘 중 누구도 보낼 수가 없어 없어
두사랑 (Feat. 매드클라운),다비치,발라드,2015,정말 이야스스로가 밉고 이해할 수 없어도 사람 마음이란 게 가끔씩 그럴 수 있지 나쁜 건 나쁜 쪽이 되기 싫은 너의 맘 상처 주지 않는 법 따위 없다고 애매하고 못된 헷갈리고 서툰 그런 맘이라 생각되면 잠시 두면 돼 괜찮아 맘가는 대로 해 그맘이 진심이라면 넌 좀 더 이기적이어도 돼
두사랑 (Feat. 매드클라운),다비치,발라드,2015,이 두 사람은 너무 날 사랑해서 난 두 사람 중 한 사람도 아프게 할 수가 없는데 이러면 안 되는데 누구에게도 털어놓을 수 없어 없어
두사랑 (Feat. 매드클라운),다비치,발라드,2015,정말 이야나 는 사랑이 아닌 사랑들을 해요
두사랑 (Feat. 매드클라운),다비치,발라드,2015,이걸 어쩌지 이걸 어쩌지
두사랑 (Feat. 매드클라운),다비치,발라드,2015,어쩌면 좋지
두사랑 (Feat. 매드클라운),다비치,발라드,2015,어 떡하죠
두사랑 (Feat. 매드클라운),다비치,발라드,2015,그 어떤 사랑보다 정말 깊은 걸 요대체 누가 날 대체 누가 날이해해줄지
목소리,노을,발라드,2015,너무 보고 싶어서 가만히 너를 떠올려 보기도 했어 기억 속 네가 흐려진 만큼 잊혀진 거라 믿었어 지워질 거라고 하지만 지날수록 너의 그 모습보다 아련한 향기보다 그리워 단 한 번만 다시 들을 수 없을까 귓가에 맴도는 네 목소리 이렇게 너를 부르면 언젠간들을 수가 있을까 사랑한 날의 네 목소리 사랑한다는 말이 익숙해질 즈음 그때 우린 헤어졌어 한동안 너의 따스히 건네던 그 말을 잊은 채 너와 다시 만나고 너를 안고 싶었던 지난날의 내가 참 미워단 한 번만 다시 들을 수 없을까 귓가에 맴도는 네목 소리 이렇게 너를 부르면 언젠간들을 수가 있을까 사랑한 날의 네 목소리 그렇게 떠나가던 날 끝없이 나를 소리쳐 부르던 그날의 널 잊을 수 없어 너의 목소리로 가득한 그 거리도 단 한 번만 그때처럼 다시 한 번만 귓가에 맴도는 네 목소리 이렇게 너를 부르면 언젠간들을 수가 있을까 사랑한 날의 네 목소리 사랑했던 네 목소리
사월의 눈,허각,발라드,2015,어느새 그 차가웠던 긴 겨울에 하얀 눈도 스르륵 봄바람에 다 녹아내려요
사월의 눈,허각,발라드,2015,다시 또 누군가를 사랑할 수 있으려나 요
