song,artist,genre,year,lyric_corpus
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,이런 내모습 보인다해도
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,모른척 날 스쳐가
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,뒤로 멈춰버린 나의모습
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,길조차 보이지 않아
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,혼자를 바래 혼자로 남아
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,존재할 수 없나봐
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,혼자가 아닌 한사람
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,사랑한 내가 미워
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,찾아온 내기억속에
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,이곳에 난 묻어가
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,지나친 기대였을까
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,숨지못할 어둠속에 가둔
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,믿지 못해 돌린 발걸음
사랑을 찾아서,엠씨더맥스 (M.C the MAX),발라드,2006,나조차도 날 버린거야
제발,이승기,발라드,2006,화만 내서 더 미안해
제발,이승기,발라드,2006,모든걸 말할 수 없잖아
제발,이승기,발라드,2006,어떻게든 다시 돌아오길 부탁해
제발,이승기,발라드,2006,기다릴게 너를 하지만
제발,이승기,발라드,2006,늘 참지 못하고
제발,이승기,발라드,2006,멀어지지마 더 가까이
제발,이승기,발라드,2006,아직도 눈물 흘리며 널 생각해
제발,이승기,발라드,2006,처음으로 다시 돌아가길 바랄게
제발,이승기,발라드,2006,잊지 못해 너를 있잖아
제발,이승기,발라드,2006,처음으로 다시 돌아가길 바랄께
제발,이승기,발라드,2006,그렇게 웃고 울었던 기억들이
제발,이승기,발라드,2006,많이 사랑하면 할수록
제발,이승기,발라드,2006,투정부린거 미안해
제발,이승기,발라드,2006,마지막 얘길 할테니 좀 들어봐
제발,이승기,발라드,2006,멀어지지마 더 가까이 제발
제발,이승기,발라드,2006,잊지말고 다시 돌아오길 부탁해
제발,이승기,발라드,2006,지워지는게 난 싫어
제발,이승기,발라드,2006,제발 제발 제발
제발,이승기,발라드,2006,나만 원한다고 했잖아
