song,artist,genre,year,lyric_corpus
사진속에 담긴 추억,임재범,발라드,2001,아득하게만 느껴지는 그 대 마음처럼 모든 것이 멀어만지네 소리 없는 슬픔만 나의 맘에 쌓이고 희미해진 불 빛 속에 떠나버린 그 대여내 사랑나의 사랑 어둠이 다가오네
사진속에 담긴 추억,임재범,발라드,2001,눈감으면 그 대가 내 곁에 있는데 멀리 떠나갔지만 그대만을 사랑해 사진 속에 담긴 추억들도 이젠 잊어야만 해
편지 (Original Ver.),최재훈,발라드,2001,내 영혼이 내 몸을 벗고 자유롭게 될 거야
편지 (Original Ver.),최재훈,발라드,2001,그럼 나의 사랑도 힘든 세상에 다 두고 갈 거야
편지 (Original Ver.),최재훈,발라드,2001,그림자로 살아갈 만큼 강한 내가 아니야 널 갖지 못한 나슬픔이 많던 나 모두 함께 태워 뿌려줘
편지 (Original Ver.),최재훈,발라드,2001,널 처음 본날 영화처럼 스쳐가 내 운명을 돌려놓은 그날이 이 세상은 감히 널선택한 벌이었나 봐
편지 (Original Ver.),최재훈,발라드,2001,니가 없는 곳에 태어날 거야
편지 (Original Ver.),최재훈,발라드,2001,워깨우지 마
편지 (Original Ver.),최재훈,발라드,2001,널 잊게 될 테니 가엾은 날 너무 욕하지는 마
편지 (Original Ver.),최재훈,발라드,2001,내가 너로 인해 떠났다고 힘들어도 마그저 새로 시작하고 싶었어 사랑했어
편지 (Original Ver.),최재훈,발라드,2001,그래서 내가 미치기 전에 멈춰야만 했어
편지 (Original Ver.),최재훈,발라드,2001,나도내 사랑이 힘에 겨워 서널 처음 본날 영화처럼 스쳐가 내 운명을 돌려놓은 그날이 이 세상은 감히 널선택한 벌이었나 봐
편지 (Original Ver.),최재훈,발라드,2001,나를 널 다치게 할까봐 끝도 없이 달릴 사랑 때문에 이젠 멈춰진 거야
편지 (Original Ver.),최재훈,발라드,2001,나도내 사랑도 정말 힘에 겨웠어
하나의 사랑,박상민,발라드,2001,가슴속에 차오르는 그대 이렇게 외면하지만 나는 이미 알고 있잖아
하나의 사랑,박상민,발라드,2001,그 댈 원하고 있어 날 바라보는 그대눈빛 속에 영원히 머물고 싶어 함께 할 수 없는 사랑을 이젠 견딜 수가 없어 다가갈수록 멀어지는 그 대 뒷모습 바라보고 있어 돌아서서 젖어오는 슬픔을 그 댄 알 수 없을 꺼야 서로 잠시 멀리 있다 해도 이제는 느낄 수 있어 오직 내가 꿈꿔왔던 건 그대라는 단 하나의 사랑 다가갈수록 멀어지는 그 대 뒷모습 바라보고 있어 돌아서서 젖어오는 슬픔을 그 댄 알 수 없을 꺼야
